Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,BLOCK,25332.00,6653.40,5988.06,109.13,1.82,Safe
2,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,BLOCK,3179.00,945.33,850.80,0.03,0.00,Safe
3,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,BLOCK,29529.00,8208.49,7387.63,163.23,2.21,Safe
4,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,BLOCK,7001.00,2356.80,2121.12,44.08,2.08,Safe
5,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,BLOCK,13583.00,3850.63,3465.56,20.65,0.60,Safe
6,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NANCOWRY,BLOCK,17491.00,4804.95,4324.45,23.51,0.54,Safe
7,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,BLOCK,354.00,106.76,96.09,0.01,0.01,Safe
8,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,BLOCK,4790.00,2166.78,1950.11,46.55,2.39,Safe
9,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,BLOCK,26380.00,8524.18,7671.76,296.13,3.86,Safe
10,ANDHRA PRADESH,Alluri Sitharama Raju,MAREDUMILLI,BLOCK,26735.39,3721.33,3535.33,34.72,0.98,Safe
11,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTUR,BLOCK,61642.12,11402.01,10831.89,113.19,1.04,Safe
12,ANDHRA PRADESH,Alluri Sitharama Raju,PEDABAYALU,BLOCK,25407.55,9712.04,9226.41,173.20,1.88,Safe
13,ANDHRA PRADESH,Alluri Sitharama Raju,RAMPACHODAVARAM,BLOCK,45621.39,6660.58,6327.60,79.57,1.26,Safe
14,ANDHRA PRADESH,Alluri Sitharama Raju,Y RAMAVARAM,BLOCK,46718.02,6481.66,6157.57,41.02,0.67,Safe
15,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA,BLOCK,36249.10,5734.48,5447.72,74.50,1.37,Safe
16,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM,BLOCK,33715.86,6172.29,5863.69,71.04,1.21,Safe
17,ANDHRA PRADESH,Alluri Sitharama Raju,GANGAVARAM (EAST GODAVARI),BLOCK,54569.04,6308.40,5992.99,48.03,0.80,Safe
18,ANDHRA PRADESH,Alluri Sitharama Raju,KUNAVARAM,BLOCK,17764.42,2233.09,2121.38,38.19,1.80,Safe
19,ANDHRA PRADESH,Alluri Sitharama Raju,NELLIPAKA,BLOCK,36113.13,4360.06,4142.08,113.98,2.75,Safe
20,ANDHRA PRADESH,Alluri Sitharama Raju,RAJAVOMMANGI,BLOCK,35024.24,6566.22,6237.94,63.56,1.02,Safe
21,ANDHRA PRADESH,Alluri Sitharama Raju,VARARAMACHANDRAPUR,BLOCK,28184.83,4604.82,4374.54,60.35,1.38,Safe
22,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,BLOCK,28408.44,7616.02,7235.13,91.38,1.26,Safe
23,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY,BLOCK,13930.40,8683.44,8249.07,80.88,0.98,Safe
24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,BLOCK,19252.66,7802.49,7412.20,116.90,1.58,Safe
25,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA,BLOCK,14138.27,8397.49,7977.60,130.11,1.63,Safe
26,ANDHRA PRADESH,Alluri Sitharama Raju,GANGARAJU MADUGULA,BLOCK,8782.40,7641.34,7259.19,73.64,1.01,Safe
27,ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,BLOCK,11488.00,7404.16,7033.95,135.39,1.92,Safe
28,ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,BLOCK,20418.68,12129.18,11522.74,69.14,0.60,Safe
29,ANDHRA PRADESH,Alluri Sitharama Raju,KOYYURU,BLOCK,28384.00,7709.17,7323.71,127.10,1.74,Safe
30,ANDHRA PRADESH,Alluri Sitharama Raju,MUNCHINGIPUTTU,BLOCK,27961.68,8118.53,7712.54,90.14,1.17,Safe
