Sl. No,State,District,Assessment Unit  Name,Assessment Unit Type,Recharge Worthy Area(Ha),Total Annual  Ground Water (Ham) Recharge,Annual Extractable Ground Water Resource  (Ham),Total  Ground Water Extraction  (Ham),Stage of Ground Water  Extraction (%),Categorization
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,DIGLIPUR,BLOCK,25332,6653.4,5988.06,109.13,1.82,Safe
2,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,MAYABUNDER,BLOCK,3179,945.33,850.8,0.03,0.004,Safe
3,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,RANGAT,BLOCK,29529,8208.49,7387.63,163.23,2.21,Safe
4,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,CAR NICOBAR,BLOCK,7001,2356.8,2121.12,44.08,2.08,Safe
5,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,GREAT NICOBAR,BLOCK,13583,3850.63,3465.56,20.65,0.6,Safe
6,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NANCOWRY,BLOCK,17491,4804.95,4324.45,23.51,0.54,Safe
7,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,FERRARGANJ,BLOCK,354,106.76,96.09,0.01,0.01,Safe
8,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,LITTLE ANDAMAN,BLOCK,4790,2166.78,1950.11,46.55,2.39,Safe
9,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,PORT BLAIR,BLOCK,26380,8524.18,7671.76,296.13,3.86,Safe
10,ANDHRA PRADESH,Alluri Sitharama Raju,MAREDUMILLI,BLOCK,26735.39,3721.33,3535.33,34.72,0.982086538,Safe
11,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTUR,BLOCK,61642.11815,11402.01,10831.89,113.19,1.044969991,Safe
12,ANDHRA PRADESH,Alluri Sitharama Raju,PEDABAYALU,BLOCK,25407.55464,9712.04,9226.41,173.2,1.87721985,Safe
13,ANDHRA PRADESH,Alluri Sitharama Raju,RAMPACHODAVARAM,BLOCK,45621.39,6660.58,6327.6,79.57,1.257506796,Safe
14,ANDHRA PRADESH,Alluri Sitharama Raju,Y RAMAVARAM,BLOCK,46718.016,6481.66,6157.57,41.02,0.666171883,Safe
15,ANDHRA PRADESH,Alluri Sitharama Raju,ADDATEEGALA,BLOCK,36249.10125,5734.48,5447.72,74.5,1.367544587,Safe
16,ANDHRA PRADESH,Alluri Sitharama Raju,DEVIPATNAM,BLOCK,33715.86041,6172.29,5863.69,71.04,1.211523802,Safe
17,ANDHRA PRADESH,Alluri Sitharama Raju,GANGAVARAM (EAST GODAVARI),BLOCK,54569.04,6308.4,5992.99,48.03,0.801436345,Safe
18,ANDHRA PRADESH,Alluri Sitharama Raju,KUNAVARAM,BLOCK,17764.4225,2233.09,2121.38,38.19,1.800243238,Safe
19,ANDHRA PRADESH,Alluri Sitharama Raju,NELLIPAKA,BLOCK,36113.13,4360.06,4142.08,113.98,2.751757571,Safe
20,ANDHRA PRADESH,Alluri Sitharama Raju,RAJAVOMMANGI,BLOCK,35024.24,6566.22,6237.94,63.56,1.01892612,Safe
21,ANDHRA PRADESH,Alluri Sitharama Raju,VARARAMACHANDRAPUR,BLOCK,28184.83,4604.82,4374.54,60.35,1.379573624,Safe
22,ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,BLOCK,28408.44128,7616.02,7235.13,91.38,1.263004258,Safe
23,ANDHRA PRADESH,Alluri Sitharama Raju,ARAKU VALLEY,BLOCK,13930.39679,8683.44,8249.07,80.88,0.980474163,Safe
24,ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,BLOCK,19252.65588,7802.49,7412.2,116.9,1.577129597,Safe
25,ANDHRA PRADESH,Alluri Sitharama Raju,DUMBRIGUDA,BLOCK,14138.26718,8397.49,7977.6,130.11,1.630941637,Safe
26,ANDHRA PRADESH,Alluri Sitharama Raju,GANGARAJU MADUGULA,BLOCK,8782.40083,7641.34,7259.19,73.64,1.01443825,Safe
27,ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,BLOCK,11488.00406,7404.16,7033.95,135.39,1.924807541,Safe
28,ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,BLOCK,20418.67611,12129.18,11522.74,69.14,0.600030895,Safe
29,ANDHRA PRADESH,Alluri Sitharama Raju,KOYYURU,BLOCK,28384,7709.17,7323.71,127.1,1.735459214,Safe
30,ANDHRA PRADESH,Alluri Sitharama Raju,MUNCHINGIPUTTU,BLOCK,27961.67612,8118.53,7712.54,90.14,1.168745964,Safe
31,ANDHRA PRADESH,Alluri Sitharama Raju,PADERU,BLOCK,18725.0648,8765.43,8327.12,412.99,4.959577861,Safe
32,ANDHRA PRADESH,Anakapalli,NATHAVARAM,BLOCK,19416,6292.32,5977.69,477.45,7.987199069,Safe
33,ANDHRA PRADESH,Anakapalli,DEVARAPALLE (ANAKAPALLI),BLOCK,14965,3949.63,3752.14,690.98,18.41562415,Safe
34,ANDHRA PRADESH,Anakapalli,CHODAVARAM,BLOCK,16202,3889.11,3694.67,1650.91,44.68355767,Safe
35,ANDHRA PRADESH,Anakapalli,YELAMANCHILI (ANAKAPALLI),BLOCK,10059,2608.43,2477.99,746.03,30.10625547,Safe
36,ANDHRA PRADESH,Anakapalli,PARAVADA,BLOCK,10586,1700.42,1615.39,465.85,28.83823721,Safe
37,ANDHRA PRADESH,Anakapalli,GOLUGONDA,BLOCK,11252,2278.68,2164.75,468,21.61912461,Safe
38,ANDHRA PRADESH,Anakapalli,NARSIPATNAM,BLOCK,10854,2835.31,2693.55,434.59,16.13446938,Safe
39,ANDHRA PRADESH,Anakapalli,MAKAVARAPALEM,BLOCK,14236,2894.95,2750.19,756.8,27.51809875,Safe
40,ANDHRA PRADESH,Anakapalli,ROLUGUNTA,BLOCK,12039,2752.71,2615.09,541.8,20.7182162,Safe
41,ANDHRA PRADESH,Anakapalli,RAMBILLI,BLOCK,12101,2745.14,2607.87,433.76,16.63273093,Safe
42,ANDHRA PRADESH,Anakapalli,RAVIKAMATHAM,BLOCK,16499,4109.79,3904.29,616.24,15.78366361,Safe
43,ANDHRA PRADESH,Anakapalli,K KOTAPADU,BLOCK,15972,3875.12,3681.35,698.21,18.96614014,Safe
44,ANDHRA PRADESH,Anakapalli,ANAKAPALLE,BLOCK,17373,3959.16,3761.17,1106.14,29.40946567,Safe
45,ANDHRA PRADESH,Anakapalli,ATCHUTAPURAM,BLOCK,14200,2129.42,2022.93,854.95,42.26295522,Safe
46,ANDHRA PRADESH,Anakapalli,BUTCHAYYAPETA,BLOCK,16745,3583.69,3404.52,990.63,29.09749392,Safe
47,ANDHRA PRADESH,Anakapalli,CHEEDIKADA,BLOCK,11658,3454.83,3282.1,974.49,29.69105146,Safe
48,ANDHRA PRADESH,Anakapalli,KASIMKOTA,BLOCK,15459,3249.16,3086.7,1499.77,48.5881362,Safe
49,ANDHRA PRADESH,Anakapalli,KOTAURATLA,BLOCK,14330,3122.18,2966.09,1019.33,34.36611836,Safe
50,ANDHRA PRADESH,Anakapalli,MADUGULA,BLOCK,18463.65992,5451.92,5179.23,1728.51,33.3738799,Safe
51,ANDHRA PRADESH,Anakapalli,MUNAGAPAKA,BLOCK,9300,1736.23,1649.41,964,58.44514099,Safe
52,ANDHRA PRADESH,Anakapalli,NAKKAPALLE,BLOCK,19684,4408.09,4187.71,754.32,18.01270862,Safe
53,ANDHRA PRADESH,Anakapalli,PAYAKARAOPETA,BLOCK,10822,3246.66,3084.31,1045.81,33.90742176,Safe
54,ANDHRA PRADESH,Anakapalli,S RAYAVARAM,BLOCK,16528,4369.15,4150.7,1196.67,28.8305587,Safe
55,ANDHRA PRADESH,Anakapalli,SABBAVARAM,BLOCK,17179,3310.53,3144.97,851.82,27.08515503,Safe
56,ANDHRA PRADESH,Ananthapuramu,YADIKI,BLOCK,25687,3391.16,3221.62,1313.62,40.77513797,Safe
57,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR RURAL,BLOCK,26151,3091.56,2936.98,568.34,19.35117025,Safe
58,ANDHRA PRADESH,Ananthapuramu,RAYADURG,BLOCK,32061,3675.82,3492,1331.92,38.14203895,Safe
59,ANDHRA PRADESH,Ananthapuramu,VAJRAKARUR,BLOCK,36916,4582.77,4353.62,735.37,16.89100105,Safe
60,ANDHRA PRADESH,Ananthapuramu,BRAHMASAMUDRAM,BLOCK,27256,4147.81,3940.39,1157.51,29.37551867,Safe
61,ANDHRA PRADESH,Ananthapuramu,SINGANAMALA,BLOCK,27654,4889.45,4644.96,1483.57,31.93934932,Safe
62,ANDHRA PRADESH,Ananthapuramu,D HIRCHAL,BLOCK,27582,4111.61,3906.04,1476.37,37.79710397,Safe
63,ANDHRA PRADESH,Ananthapuramu,GUNTAKAL,BLOCK,42648,3465.16,3291.85,1326.92,40.3092486,Safe
64,ANDHRA PRADESH,Ananthapuramu,GOOTY,BLOCK,30299,3624.18,3442.99,786.9,22.85513464,Safe
65,ANDHRA PRADESH,Ananthapuramu,PEDDAVADUGUR,BLOCK,23398.33,2905.96,2760.65,753.39,27.29031206,Safe
66,ANDHRA PRADESH,Ananthapuramu,KUDAIR,BLOCK,31746,3277.63,3113.73,1617.41,51.94445247,Safe
67,ANDHRA PRADESH,Ananthapuramu,YELLANUR,BLOCK,27311,3337.13,3170.26,2072.65,65.37791853,Safe
68,ANDHRA PRADESH,Ananthapuramu,SETTUR,BLOCK,28864,2790.79,2651.24,824.3,31.09111208,Safe
69,ANDHRA PRADESH,Ananthapuramu,TADPATRI,BLOCK,44107,4838.69,4596.74,2574.29,56.00251483,Safe
70,ANDHRA PRADESH,Ananthapuramu,GARLADINNE,BLOCK,24039,4113.4,3907.76,2579.26,66.00354167,Safe
71,ANDHRA PRADESH,Ananthapuramu,ANANTAPUR URBAN,BLOCK,4751,554.39,526.68,141.21,26.81134655,Safe
72,ANDHRA PRADESH,Ananthapuramu,URAVAKONDA,BLOCK,40262,5070.46,4816.94,776.63,16.1228913,Safe
73,ANDHRA PRADESH,Ananthapuramu,PEDDAPAPPUR,BLOCK,21136,3254,3091.29,1651.75,53.43238583,Safe
74,ANDHRA PRADESH,Ananthapuramu,ATMAKUR,BLOCK,23430,2840.5,2698.45,1051.56,38.96903778,Safe
75,ANDHRA PRADESH,Ananthapuramu,BELUGUPPA,BLOCK,32086,3844.21,3652.03,1064.45,29.14680328,Safe
76,ANDHRA PRADESH,Ananthapuramu,BOMMANAHAL,BLOCK,27847,7141.46,6784.37,1080.66,15.92867134,Safe
77,ANDHRA PRADESH,Ananthapuramu,BUKKARAYASAMUDRAM,BLOCK,25092,3134.22,2977.53,1578.3,53.0070226,Safe
78,ANDHRA PRADESH,Ananthapuramu,GUMMAGATTA,BLOCK,22897,2630.9,2499.35,1399.7,56.00256067,Safe
79,ANDHRA PRADESH,Ananthapuramu,KALYANDURG,BLOCK,40283,5192.48,4932.87,1450.71,29.40904585,Safe
80,ANDHRA PRADESH,Ananthapuramu,KAMBADUR,BLOCK,38415,3538.96,3362.01,1110.49,33.03053828,Safe
81,ANDHRA PRADESH,Ananthapuramu,KANEKAL,BLOCK,50624,7702.6,7317.47,876.83,11.98269347,Safe
82,ANDHRA PRADESH,Ananthapuramu,KUNDURPI,BLOCK,24661,2770.88,2632.35,1157.79,43.98313294,Safe
83,ANDHRA PRADESH,Ananthapuramu,NARPALA,BLOCK,24873,3071.35,2917.75,2138.14,73.28043869,Semi Critical
84,ANDHRA PRADESH,Ananthapuramu,PAMIDI,BLOCK,24456,2801.18,2661.11,887.46,33.34924148,Safe
85,ANDHRA PRADESH,Ananthapuramu,PUTLUR,BLOCK,25475,3418.7,3247.78,2126.09,65.46287002,Safe
